2018-10-10 10:11:15,582: |Mouse moved to |(1042, 60)
2018-10-10 10:11:15,598: |Mouse moved to |(1042, 61)
2018-10-10 10:11:15,598: |Mouse moved to |(1042, 64)
2018-10-10 10:11:15,613: |Mouse moved to |(1042, 65)
2018-10-10 10:11:15,629: |Mouse moved to |(1041, 65)
2018-10-10 10:11:15,629: |Mouse moved to |(1041, 66)
2018-10-10 10:11:15,644: |Mouse moved to |(1041, 67)
2018-10-10 10:11:15,660: |Mouse moved to |(1040, 67)
2018-10-10 10:11:15,660: |Mouse moved to |(1040, 68)
2018-10-10 10:11:15,676: |Mouse moved to |(1039, 69)
2018-10-10 10:11:15,691: |Mouse moved to |(1039, 70)
2018-10-10 10:11:15,707: |Mouse moved to |(1038, 71)
2018-10-10 10:11:15,722: |Mouse moved to |(1038, 71)
2018-10-10 10:11:15,738: |Mouse moved to |(1037, 72)
2018-10-10 10:11:15,754: |Mouse moved to |(1036, 73)
2018-10-10 10:11:15,754: |Mouse moved to |(1036, 74)
2018-10-10 10:11:15,769: |Mouse moved to |(1035, 75)
2018-10-10 10:11:15,785: |Mouse moved to |(1035, 76)
2018-10-10 10:11:15,785: |Mouse moved to |(1034, 76)
2018-10-10 10:11:15,800: |Mouse moved to |(1033, 78)
2018-10-10 10:11:15,816: |Mouse moved to |(1032, 78)
2018-10-10 10:11:15,816: |Mouse moved to |(1031, 80)
2018-10-10 10:11:15,832: |Mouse moved to |(1031, 80)
2018-10-10 10:11:15,847: |Mouse moved to |(1029, 82)
2018-10-10 10:11:15,863: |Mouse moved to |(1028, 83)
2018-10-10 10:11:15,878: |Mouse moved to |(1027, 85)
2018-10-10 10:11:15,878: |Mouse moved to |(1025, 87)
2018-10-10 10:11:15,894: |Mouse moved to |(1025, 89)
2018-10-10 10:11:15,910: |Mouse moved to |(1023, 90)
2018-10-10 10:11:15,925: |Mouse moved to |(1022, 91)
2018-10-10 10:11:15,925: |Mouse moved to |(1022, 93)
2018-10-10 10:11:15,941: |Mouse moved to |(1020, 94)
2018-10-10 10:11:15,956: |Mouse moved to |(1019, 97)
2018-10-10 10:11:15,956: |Mouse moved to |(1017, 99)
2018-10-10 10:11:15,972: |Mouse moved to |(1017, 100)
2018-10-10 10:11:15,988: |Mouse moved to |(1015, 103)
2018-10-10 10:11:15,988: |Mouse moved to |(1014, 104)
2018-10-10 10:11:16,003: |Mouse moved to |(1014, 105)
2018-10-10 10:11:16,019: |Mouse moved to |(1012, 109)
2018-10-10 10:11:16,019: |Mouse moved to |(1011, 110)
2018-10-10 10:11:16,034: |Mouse moved to |(1009, 113)
2018-10-10 10:11:16,050: |Mouse moved to |(1005, 118)
2018-10-10 10:11:16,050: |Mouse moved to |(1003, 121)
2018-10-10 10:11:16,066: |Mouse moved to |(999, 124)
2018-10-10 10:11:16,081: |Mouse moved to |(995, 128)
2018-10-10 10:11:16,081: |Mouse moved to |(991, 132)
2018-10-10 10:11:16,097: |Mouse moved to |(985, 137)
2018-10-10 10:11:16,112: |Mouse moved to |(976, 145)
2018-10-10 10:11:16,112: |Mouse moved to |(967, 154)
2018-10-10 10:11:16,128: |Mouse moved to |(953, 167)
2018-10-10 10:11:16,144: |Mouse moved to |(930, 183)
2018-10-10 10:11:16,144: |Mouse moved to |(908, 199)
2018-10-10 10:11:16,159: |Mouse moved to |(878, 217)
